article,simpSent,standSent,typeOfMatch
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,"Fiorentina have won Serie A twice , first in 1955\/56 then again in 1968\/69 , as well as winning six Coppa Italia trophies .","0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,"On the European stage Fiorentina have won the UEFA Cup Winners ' Cup in 1960\/61 , they finished runners-up in the UEFA Cup 1989\/90 and they also came close to winning the biggest European prize , finishing as runners-up in the European Cup during 1956\/57 .","0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,1926-2002 AC Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,2002-2003 Florentia Viola .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,2003-present ACF Fiorentina .,"0
"
,,,
A.C.F._Fiorentina,Players may hold more than one non-FIFA nationality .,Fiorentina is known by the nickname La viola ; a reference to their distinctive purple colors .,"0
"
