,index,article,simpSent,standSent,typeOfMatch
37,74,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .,0.0
38,76,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .","Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .",0.0
39,78,Alchemy,"The defining objectives of alchemy are varied ; these include the creation of the fabled philosopher 's stone possessing powers including the capability of turning base metals into the noble metals gold or silver , as well as an elixir of life conferring youth and immortality .",Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .,0.0
40,80,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,"Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
41,82,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,It is the study of transmutation .,0.0
42,84,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,It was first studied to learn how to change lead into gold .,0.0
43,86,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,"It is similar to chemistry , but much older .",0.0
44,88,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,People who studied alchemy were called alchemists .,0.0
45,90,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
46,92,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
47,94,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
48,96,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
49,98,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
50,100,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
51,102,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,"A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .",0.0
52,104,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,Alchemy is not a science any more .,0.0
53,106,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,"Some things that the alchemists learned about were important for other sciences , like chemistry .",0.0
54,108,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,"In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .",0.0
55,110,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,But it cost much more to transform the energy to do this than the tiny amount of gold was worth .,0.0
56,112,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .,0.0
57,114,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .,0.0
58,116,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,"Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .",1.0
59,118,Alchemy,Western alchemy is recognized as a protoscience that contributed to the development of modern chemistry and medicine .,Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .,0.0
60,120,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .","Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
61,122,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",It is the study of transmutation .,0.0
62,124,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",It was first studied to learn how to change lead into gold .,0.0
63,126,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .","It is similar to chemistry , but much older .",0.0
64,128,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",People who studied alchemy were called alchemists .,0.0
65,130,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
66,132,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
67,134,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
68,136,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
69,138,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
70,140,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
71,142,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .","A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .",0.0
72,144,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",Alchemy is not a science any more .,0.0
73,146,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .","Some things that the alchemists learned about were important for other sciences , like chemistry .",0.0
74,148,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .","In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .",0.0
75,150,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",But it cost much more to transform the energy to do this than the tiny amount of gold was worth .,0.0
76,152,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .,0.0
77,154,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .,0.0
78,156,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .","Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .",0.0
79,158,Alchemy,"Alchemists developed a framework of theory , terminology , experimental process and basic laboratory techniques that are still recognizable today .",Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .,0.0
80,160,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .","Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
81,162,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",It is the study of transmutation .,0.0
82,164,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",It was first studied to learn how to change lead into gold .,0.0
83,166,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .","It is similar to chemistry , but much older .",0.0
84,168,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",People who studied alchemy were called alchemists .,0.0
85,170,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
86,172,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
87,174,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
88,176,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
89,178,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
90,180,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
91,182,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .","A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .",0.0
92,184,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",Alchemy is not a science any more .,0.0
93,186,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .","Some things that the alchemists learned about were important for other sciences , like chemistry .",0.0
94,188,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .","In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .",0.0
95,190,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",But it cost much more to transform the energy to do this than the tiny amount of gold was worth .,0.0
96,192,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .,0.0
97,194,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .,0.0
98,196,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .","Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .",0.0
99,198,Alchemy,"But alchemy differs from modern science in the inclusion of Hermetic principles and practices related to mythology , religion , and spirituality .",Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .,0.0
100,200,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .","Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
101,202,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",It is the study of transmutation .,0.0
102,204,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",It was first studied to learn how to change lead into gold .,0.0
103,206,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .","It is similar to chemistry , but much older .",0.0
104,208,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",People who studied alchemy were called alchemists .,0.0
105,210,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
106,212,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
107,214,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
108,216,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
109,218,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
110,220,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
111,222,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .","A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .",0.0
112,224,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",Alchemy is not a science any more .,0.0
113,226,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .","Some things that the alchemists learned about were important for other sciences , like chemistry .",0.0
114,228,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .","In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .",0.0
115,230,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",But it cost much more to transform the energy to do this than the tiny amount of gold was worth .,0.0
116,232,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .,0.0
117,234,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .,0.0
118,236,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .","Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .",0.0
119,238,Alchemy,"The defining goals of alchemy are often given as the transmutation of common metals into gold ( known as chrysopoeia ) , the creation of a panacea , and the discovery of a universal solvent .",Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .,0.0
120,240,Alchemy,"However , this only highlights certain aspects of alchemy .","Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
121,242,Alchemy,"However , this only highlights certain aspects of alchemy .",It is the study of transmutation .,0.0
122,244,Alchemy,"However , this only highlights certain aspects of alchemy .",It was first studied to learn how to change lead into gold .,0.0
123,246,Alchemy,"However , this only highlights certain aspects of alchemy .","It is similar to chemistry , but much older .",0.0
124,248,Alchemy,"However , this only highlights certain aspects of alchemy .",People who studied alchemy were called alchemists .,0.0
125,250,Alchemy,"However , this only highlights certain aspects of alchemy .",Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
126,252,Alchemy,"However , this only highlights certain aspects of alchemy .",They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
127,254,Alchemy,"However , this only highlights certain aspects of alchemy .",Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
128,256,Alchemy,"However , this only highlights certain aspects of alchemy .",The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
129,258,Alchemy,"However , this only highlights certain aspects of alchemy .",Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
130,260,Alchemy,"However , this only highlights certain aspects of alchemy .",Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
131,262,Alchemy,"However , this only highlights certain aspects of alchemy .","A famous saying in Alchemy : `` As above , so below '' veils the relationship existing between Alchemy and Psychology .",0.0
132,264,Alchemy,"However , this only highlights certain aspects of alchemy .",Alchemy is not a science any more .,0.0
133,266,Alchemy,"However , this only highlights certain aspects of alchemy .","Some things that the alchemists learned about were important for other sciences , like chemistry .",0.0
134,268,Alchemy,"However , this only highlights certain aspects of alchemy .","In 1980 , an American scientist named Glenn Seaborg actually changed a very tiny amount of bismuth into gold with a nuclear reactor .",0.0
135,270,Alchemy,"However , this only highlights certain aspects of alchemy .",But it cost much more to transform the energy to do this than the tiny amount of gold was worth .,0.0
136,272,Alchemy,"However , this only highlights certain aspects of alchemy .",This is the closest a scientist has come to discover the Philosopher 's Stone of the ancient Alchemists .,0.0
137,274,Alchemy,"However , this only highlights certain aspects of alchemy .",The Philosopher 's Stone is the means ( way ) Alchemists use to achieve ( to succeed in ) transmutation .,0.0
138,276,Alchemy,"However , this only highlights certain aspects of alchemy .","Alchemy was an important science because it helped create many other sciences that came after it , for example , Chemistry , Physics , Biology , and astronomy .",0.0
139,278,Alchemy,"However , this only highlights certain aspects of alchemy .",Alchemists not only tried to create gold but they also looked for self-purification ( to separate the pure from the impure with great care ) and enlightenment .,0.0
140,280,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .","Alchemy is a study of the basic elements called fire , water , earth and air .",0.0
141,282,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",It is the study of transmutation .,0.0
142,284,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",It was first studied to learn how to change lead into gold .,0.0
143,286,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .","It is similar to chemistry , but much older .",0.0
144,288,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",People who studied alchemy were called alchemists .,0.0
145,290,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",Alchemists in the Middle Ages often tried to make gold using things that were not gold .,0.0
146,292,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",They also tried to make the Elixir of Life ( which would give the gift of immortality ) .,0.0
147,294,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",Many times alchemists would use stories and legends to try to veil ( cover up ) how to make gold .,0.0
148,296,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",The psychologist Carl Gustav Jung was interested in this as well but in relation to the soul of man .,0.0
149,298,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",Alchemists are objective ( they deal with external existence ) while psychologists are subjective ( they deal with the inner life of man ) .,0.0
150,300,Alchemy,"Alchemists have historically rewritten , and evolved the explanation of their art , making a singular definition difficult .",Alchemists deal with the First Matter ( a substance that makes transmutation easy ) while Psychology deals with the mind .,0.0
