,article,simpSent,StandSent,typeOfMatch,standSent
19,Alphonse_Mucha,Bernhardt was so satisfied with the success of this first poster that she began a six-year contract with Mucha .,,0,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) ."
20,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,0,"He produced many paintings , illustrations , advertisements , and designs ."
21,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,0,"Mucha moved to Paris in 1887 , continued his studies , and worked at producing magazine and advertising illustrations ."
22,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,1,"Around Christmas 1894 , Mucha happened to drop into a print shop where there was a sudden and unexpected need for a new advertising poster for a play starring Sarah Bernhardt , the most famous actress in Paris ."
23,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,0,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou appeared on the streets of the city ."
24,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,0,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) ."
25,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,0,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads ."
26,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,1,In contrast with contemporary poster makers he used pale pastel colors .
27,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,0,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''"
28,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,0,Mucha 's Art Nouveau style was often imitated .
29,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,0,"The Art Nouveau style however , was one that Mucha attempted to distance himself from ."
30,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,1,He always insisted that his paintings came purely from within and from Czech art .
31,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,0,"He declared that art existed only to communicate a spiritual message , and nothing more ."
32,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,0,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads ."
33,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,0,In contrast with contemporary poster makers he used pale pastel colors .
34,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,1,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''"
35,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,0,He decorated the Bosnia and Herzegovina Pavilion and collaborated in the Austrian Pavilion .
36,Alphonse_Mucha,His Art Nouveau style was often imitated .,,0,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''"
37,Alphonse_Mucha,His Art Nouveau style was often imitated .,,0,He decorated the Bosnia and Herzegovina Pavilion and collaborated in the Austrian Pavilion .
38,Alphonse_Mucha,His Art Nouveau style was often imitated .,,1,Mucha 's Art Nouveau style was often imitated .
39,Alphonse_Mucha,His Art Nouveau style was often imitated .,,0,"The Art Nouveau style however , was one that Mucha attempted to distance himself from ."
40,Alphonse_Mucha,It believes that the common interests of the nation have a higher value than the interests of individual people .,,0,supports making Latvian citizenship laws more restrictive for non-citizens .
41,Alphonse_Mucha,It believes that the common interests of the nation have a higher value than the interests of individual people .,,0,The party is opposed to European federalism .
42,Alphonse_Mucha,"Alfons Maria Mucha ( Czech pronunciation : ( ˈalfons ˈmuxa ) ( listen ) ; 24 July 1860 - 14 July 1939 ) , known in English as Alphonse Mucha , was a Czech Art Nouveau painter and decorative artist , known best for his distinct style .",,1,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women ."
43,Alphonse_Mucha,"Alfons Maria Mucha ( Czech pronunciation : ( ˈalfons ˈmuxa ) ( listen ) ; 24 July 1860 - 14 July 1939 ) , known in English as Alphonse Mucha , was a Czech Art Nouveau painter and decorative artist , known best for his distinct style .",,0,"He produced many paintings , illustrations , advertisements , and designs ."
44,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,0,"The Art Nouveau style however , was one that Mucha attempted to distance himself from ."
45,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,0,He always insisted that his paintings came purely from within and from Czech art .
46,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,1,"He declared that art existed only to communicate a spiritual message , and nothing more ."
47,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,1,"He was frustrated at the fame he gained through commercial art , when he most wanted to concentrate on more lofty projects that would ennoble art and his birthplace ."
51,Alphonse_Mucha,"Mucha married Maruška ( Marie\/Maria ) Chytilová on 10 June 1906 , in Prague .",,0,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women ."
52,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,0,Bernhardt was so satisfied with the success of this first poster that she entered into a 6 year contract with Mucha .
53,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,0,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) ."
54,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,1,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads ."
55,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,0,In contrast with contemporary poster makers he used pale pastel colors .
56,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,0,In contrast with contemporary poster makers he used pale pastel colors .
57,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,0,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''"
58,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,1,He decorated the Bosnia and Herzegovina Pavilion and collaborated in the Austrian Pavilion .
59,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,0,Mucha 's Art Nouveau style was often imitated .
60,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,0,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women ."
61,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,0,"He produced many paintings , illustrations , advertisements , and designs ."
62,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,1,"Mucha moved to Paris in 1887 , continued his studies , and worked at producing magazine and advertising illustrations ."
63,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,0,"Around Christmas 1894 , Mucha happened to drop into a print shop where there was a sudden and unexpected need for a new advertising poster for a play starring Sarah Bernhardt , the most famous actress in Paris ."
64,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,0,It was an overnight sensation and announced the new artistic style and its creator to the citizens of Paris .
65,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,0,Bernhardt was so satisfied with the success of this first poster that she entered into a 6 year contract with Mucha .
66,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,1,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) ."
67,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,0,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads ."
68,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,0,"In 1978 , the building was in bad shape ."
69,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,0,It could not be repaired .
70,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,1,"When they started to break down the building , they found the towerhouse inside the bigger building ."
71,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,0,It was restored to its old form .
72,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,0,It might date back as far as 1430 .
73,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,0,The roof dates from the 17th century .
74,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,1,"After the building was made bigger and improved , it was used as the house for the Under Secretary of Ireland from 1782 ."
75,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,0,"In 1922 , it became the house for the first United States ambassador to Ireland ."
76,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,0,"In 1922 , it became the house for the first United States ambassador to Ireland ."
77,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,0,"After the ambassador moved to the Chief Secretary 's Lodge , the Papal nuncio used the building until 1978 when he moved ."
78,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,1,"In 1978 , the building was in bad shape ."
79,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,1,It could not be repaired .
83,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,0,"When they started to break down the building , they found the towerhouse inside the bigger building ."
84,Ashtown_Castle,"She has also booked a two-episode arc in the fifth season of FX 's Sons of Anarchy in which she will portray Emma Jean , a desireble and high-priced escort .",,0,Her sister Jennifer Tisdale is also an actor .
85,Ashtown_Castle,"She has also booked a two-episode arc in the fifth season of FX 's Sons of Anarchy in which she will portray Emma Jean , a desireble and high-priced escort .",,0,Her parents are Mike Tisdale and Lisa Tisdale .
86,Ashtown_Castle,Ashtown Castle is a fortified house in the Phoenix Park in Dublin .,,1,Ashtown Castle is a towerhouse in the Phoenix Park in Dublin .
87,Ashtown_Castle,Ashtown Castle is a fortified house in the Phoenix Park in Dublin .,,0,It is now part of the Phoenix Park Visitor Centre .
88,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,"After the building was made bigger and improved , it was used as the house for the Under Secretary of Ireland from 1782 ."
89,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,"In 1922 , it became the house for the first United States ambassador to Ireland ."
90,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,1,"After the ambassador moved to the Chief Secretary 's Lodge , the Papal nuncio used the building until 1978 when he moved ."
91,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,"In 1978 , the building was in bad shape ."
93,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,It could not be repaired .
94,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,1,"When they started to break down the building , they found the towerhouse inside the bigger building ."
95,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,It was restored to its old form .
96,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,It is now part of the Phoenix Park Visitor Centre .
97,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,It is not clear when the castle was first built .
98,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,1,It might date back as far as 1430 .
99,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,The roof dates from the 17th century .
100,Ashtown_Castle,It has now been restored and forms part of the Phoenix Park Visitor Centre .,,0,It could not be repaired .
101,Ashtown_Castle,It has now been restored and forms part of the Phoenix Park Visitor Centre .,,0,"When they started to break down the building , they found the towerhouse inside the bigger building ."
102,Ashtown_Castle,It has now been restored and forms part of the Phoenix Park Visitor Centre .,,1,It was restored to its old form .
103,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,Ashtown Castle is a towerhouse in the Phoenix Park in Dublin .
104,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''"
105,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,0,Determining what records have enduring value is not always easy .
106,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,1,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service ."
107,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,0,The theory and scholarly work underpinning archives practices is called archival science .
108,Archivist,The theory and scholarly work underpinning archives practices is called archival science .,,0,Determining what records have enduring value is not always easy .
109,Archivist,The theory and scholarly work underpinning archives practices is called archival science .,,0,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service ."
110,Archivist,The theory and scholarly work underpinning archives practices is called archival science .,,1,The theory and scholarly work underpinning archives practices is called archival science .
111,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value ."
112,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''"
113,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,Determining what records have enduring value is not always easy .
114,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,1,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service ."
115,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,The theory and scholarly work underpinning archives practices is called archival science .
116,Archivist,after the Coca-Cola Company purchased the brand in 2005 ) .,,0,"Flavors include carrot orange , citrus , honey lemon , lemon , orange , watermelon , and Coca-cola ."
117,Archivist,after the Coca-Cola Company purchased the brand in 2005 ) .,,0,"This drink is known to be created for sports people after doing exercise , but also it is great for any other kind of people , as it 's refreshing ."
118,Archivist,"An archivist ( `` AR-kiv-ist '' or `` AR-kive-ist '' ) is a professional who assesses , collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",,1,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value ."
119,Archivist,"An archivist ( `` AR-kiv-ist '' or `` AR-kive-ist '' ) is a professional who assesses , collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) ."
120,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value ."
121,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) ."
122,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,1,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''"
123,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,0,Determining what records have enduring value is not always easy .
124,Archivist,"An archivist ( `` AR-kiv-ist '' or `` AR-kive-ist '' ) is a professional who assesses , collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",,0,The theory and scholarly work underpinning archives practices is called archival science .
125,Archivist,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value ."
126,Archivist,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",,1,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) ."
127,Archivist,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''"
128,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value ."
129,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) ."
130,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,1,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''"
131,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,0,Determining what records have enduring value is not always easy .
132,Archivist,Determining what records have enduring value can be challenging .,,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) ."
133,Archivist,Determining what records have enduring value can be challenging .,,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''"
134,Archivist,Determining what records have enduring value can be challenging .,,1,Determining what records have enduring value is not always easy .
135,Archivist,Determining what records have enduring value can be challenging .,,0,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service ."
136,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,0,It has arsenic and iodide ions in it .
137,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,0,The arsenic is in its +3 oxidation state .
138,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,1,Arsenic triiodide is a orange-red solid .
139,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,1,It easily sublimes .
143,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,0,It dissolves in water and reacts very slowly to make arsenious acid and hydroiodic acid .
144,Arsenic_triiodide,It is prepared by a reaction of arsenic trichloride and potassium iodide : Hydrolysis occurs only slowly in water forming arsenic trioxide and hydroiodic acid .,,0,Arsenic triiodide is a orange-red solid .
145,Arsenic_triiodide,It is prepared by a reaction of arsenic trichloride and potassium iodide : Hydrolysis occurs only slowly in water forming arsenic trioxide and hydroiodic acid .,,0,It easily sublimes .
146,Arsenic_triiodide,It is prepared by a reaction of arsenic trichloride and potassium iodide : Hydrolysis occurs only slowly in water forming arsenic trioxide and hydroiodic acid .,,1,It dissolves in water and reacts very slowly to make arsenious acid and hydroiodic acid .
147,Arsenic_triiodide,It is prepared by a reaction of arsenic trichloride and potassium iodide : Hydrolysis occurs only slowly in water forming arsenic trioxide and hydroiodic acid .,,0,The solution is very acidic .
