,Article,Good_min,Good_max,Good_Partial_min,Good_Partial_max,Partial_min,Partial_max,Bad_min,Bad_max
24,Alex_Chernov,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
25,Alexander_the_Great,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
26,All_For_Latvia!,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
27,Alphonse_Mucha,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
28,American_Lacrosse_Conference,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
29,American_basketball_at_the_Olympics,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.8759828818905857
30,Andrew_Huxley,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8279875349383847,0.0,0.9135418654493375
31,Angers,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
32,"Anniston,_Alabama",0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
33,Anthony_Wagner,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
34,Aquarius_(sports_drink),0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
35,Archivist,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
36,Armed_Forces_of_the_Russian_Federation,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
37,Arovell_Verlag,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
38,Arrangement_(music),0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
39,Arsenic_triiodide,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
40,Ashley_Tisdale,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9135418654493375
41,Ashtown_Castle,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9413424332642805
42,Aspen,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9413424332642805
43,Atrax,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9413424332642805
44,Australia_national_football_team,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9413424332642805
45,Azuki_bean,0.20793926166189805,1.0,0.15234741924373119,0.9620426333749876,0.2893304224280224,0.8347765697622291,0.0,0.9413424332642805
